# Simulated NCR wholesale prices (PHP/kg) for the last 90 days.
# market,commodity,price_php_per_kg,demand,date
Mega Q-Mart,Broccoli,167,Stable,2026-06-23
Muntinlupa,Broccoli,157,Stable,2026-06-23
Cebu Carbon,Broccoli,152,Dipping,2026-06-23
Baguio Public,Broccoli,167,Stable,2026-06-23
Davao Bankerohan,Broccoli,169,Rising,2026-06-23
Iloilo Terminal,Broccoli,166,Stable,2026-06-23
Balintawak,Tomato,73,Surging,2026-06-23
Divisoria,Tomato,77,Surging,2026-06-23
Mega Q-Mart,Tomato,77,Dipping,2026-06-23
Muntinlupa,Tomato,86,Rising,2026-06-23
Cebu Carbon,Tomato,93,Surging,2026-06-23
Baguio Public,Tomato,81,Stable,2026-06-23
Davao Bankerohan,Tomato,78,Dipping,2026-06-23
Iloilo Terminal,Tomato,81,Stable,2026-06-23
Balintawak,White Potato,78,Rising,2026-06-23
Divisoria,White Potato,77,Stable,2026-06-23
Mega Q-Mart,White Potato,90,Stable,2026-06-23
Muntinlupa,White Potato,105,Surging,2026-06-23
Cebu Carbon,White Potato,102,Surging,2026-06-23
Baguio Public,White Potato,94,Stable,2026-06-23
Davao Bankerohan,White Potato,88,Dipping,2026-06-23
Iloilo Terminal,White Potato,98,Rising,2026-06-23
Balintawak,Bell Pepper (Green),146,Stable,2026-06-23
Divisoria,Bell Pepper (Green),168,Surging,2026-06-23
Mega Q-Mart,Bell Pepper (Green),180,Stable,2026-06-23
Muntinlupa,Bell Pepper (Green),181,Stable,2026-06-23
Cebu Carbon,Bell Pepper (Green),184,Stable,2026-06-23
Baguio Public,Bell Pepper (Green),170,Dipping,2026-06-23
Davao Bankerohan,Bell Pepper (Green),171,Dipping,2026-06-23
Iloilo Terminal,Bell Pepper (Green),177,Dipping,2026-06-23
Balintawak,Cauliflower,116,Dipping,2026-06-23
Divisoria,Cauliflower,122,Stable,2026-06-23
Mega Q-Mart,Cauliflower,151,Stable,2026-06-23
Muntinlupa,Cauliflower,173,Surging,2026-06-23
Cebu Carbon,Cauliflower,167,Surging,2026-06-23
Baguio Public,Cauliflower,142,Dipping,2026-06-23
Davao Bankerohan,Cauliflower,145,Dipping,2026-06-23
Iloilo Terminal,Cauliflower,146,Stable,2026-06-23
Balintawak,Lettuce (Romaine),106,Rising,2026-06-23
Divisoria,Lettuce (Romaine),104,Rising,2026-06-23
Mega Q-Mart,Lettuce (Romaine),111,Dipping,2026-06-23
Muntinlupa,Lettuce (Romaine),136,Surging,2026-06-23
Cebu Carbon,Lettuce (Romaine),125,Rising,2026-06-23
Baguio Public,Lettuce (Romaine),136,Surging,2026-06-23
Davao Bankerohan,Lettuce (Romaine),119,Stable,2026-06-23
Iloilo Terminal,Lettuce (Romaine),135,Surging,2026-06-23
Balintawak,Mango (Carabao),113,Rising,2026-06-23
Divisoria,Mango (Carabao),115,Rising,2026-06-23
Mega Q-Mart,Mango (Carabao),125,Stable,2026-06-23
Muntinlupa,Mango (Carabao),129,Stable,2026-06-23
Cebu Carbon,Mango (Carabao),131,Stable,2026-06-23
Baguio Public,Mango (Carabao),149,Surging,2026-06-23
Davao Bankerohan,Mango (Carabao),143,Surging,2026-06-23
Iloilo Terminal,Mango (Carabao),120,Dipping,2026-06-23
Balintawak,Rice (Well Milled),44,Dipping,2026-06-23
Divisoria,Rice (Well Milled),49,Rising,2026-06-23
Mega Q-Mart,Rice (Well Milled),52,Dipping,2026-06-23
Muntinlupa,Rice (Well Milled),54,Stable,2026-06-23
Cebu Carbon,Rice (Well Milled),60,Rising,2026-06-23
Baguio Public,Rice (Well Milled),54,Dipping,2026-06-23
Davao Bankerohan,Rice (Well Milled),59,Rising,2026-06-23
Iloilo Terminal,Rice (Well Milled),64,Surging,2026-06-23
Balintawak,Eggplant,54,Stable,2026-06-23
Divisoria,Eggplant,59,Surging,2026-06-23
Mega Q-Mart,Eggplant,64,Stable,2026-06-23
Muntinlupa,Eggplant,65,Stable,2026-06-23
Cebu Carbon,Eggplant,72,Surging,2026-06-23
Baguio Public,Eggplant,69,Rising,2026-06-23
Davao Bankerohan,Eggplant,63,Stable,2026-06-23
Iloilo Terminal,Eggplant,73,Surging,2026-06-23
Balintawak,Squash,40,Surging,2026-06-23
Divisoria,Squash,34,Dipping,2026-06-23
Mega Q-Mart,Squash,48,Surging,2026-06-23
Muntinlupa,Squash,42,Stable,2026-06-23
Cebu Carbon,Squash,46,Rising,2026-06-23
Baguio Public,Squash,46,Rising,2026-06-23
Davao Bankerohan,Squash,48,Surging,2026-06-23
Iloilo Terminal,Squash,50,Surging,2026-06-23
Balintawak,Ampalaya,63,Dipping,2026-06-23
Divisoria,Ampalaya,65,Stable,2026-06-23
Mega Q-Mart,Ampalaya,88,Rising,2026-06-23
Muntinlupa,Ampalaya,90,Surging,2026-06-23
Cebu Carbon,Ampalaya,83,Stable,2026-06-23
Baguio Public,Ampalaya,79,Stable,2026-06-23
Davao Bankerohan,Ampalaya,77,Dipping,2026-06-23
Iloilo Terminal,Ampalaya,91,Surging,2026-06-23
Balintawak,Pechay Baguio,54,Surging,2026-06-22
Divisoria,Pechay Baguio,47,Stable,2026-06-22
Mega Q-Mart,Pechay Baguio,67,Surging,2026-06-22
Muntinlupa,Pechay Baguio,55,Dipping,2026-06-22
Cebu Carbon,Pechay Baguio,55,Dipping,2026-06-22
Baguio Public,Pechay Baguio,65,Surging,2026-06-22
Davao Bankerohan,Pechay Baguio,65,Rising,2026-06-22
Iloilo Terminal,Pechay Baguio,67,Surging,2026-06-22
Balintawak,Cabbage (Scorpio),39,Stable,2026-06-22
Divisoria,Cabbage (Scorpio),37,Dipping,2026-06-22
Mega Q-Mart,Cabbage (Scorpio),53,Surging,2026-06-22
Muntinlupa,Cabbage (Scorpio),46,Dipping,2026-06-22
Cebu Carbon,Cabbage (Scorpio),55,Surging,2026-06-22
Baguio Public,Cabbage (Scorpio),48,Stable,2026-06-22
Davao Bankerohan,Cabbage (Scorpio),53,Surging,2026-06-22
Iloilo Terminal,Cabbage (Scorpio),52,Rising,2026-06-22
Balintawak,Carrots,85,Stable,2026-06-22
Divisoria,Carrots,92,Surging,2026-06-22
Mega Q-Mart,Carrots,100,Stable,2026-06-22
Muntinlupa,Carrots,98,Dipping,2026-06-22
Cebu Carbon,Carrots,105,Stable,2026-06-22
Baguio Public,Carrots,95,Dipping,2026-06-22
Davao Bankerohan,Carrots,109,Rising,2026-06-22
Iloilo Terminal,Carrots,118,Surging,2026-06-22
Balintawak,Broccoli,143,Rising,2026-06-22
Divisoria,Broccoli,148,Surging,2026-06-22
Mega Q-Mart,Broccoli,165,Stable,2026-06-22
Muntinlupa,Broccoli,184,Surging,2026-06-22
Cebu Carbon,Broccoli,179,Surging,2026-06-22
Baguio Public,Broccoli,182,Surging,2026-06-22
Davao Bankerohan,Broccoli,156,Dipping,2026-06-22
Iloilo Terminal,Broccoli,171,Rising,2026-06-22
Balintawak,Tomato,65,Stable,2026-06-22
Divisoria,Tomato,75,Surging,2026-06-22
Mega Q-Mart,Tomato,85,Rising,2026-06-22
Muntinlupa,Tomato,93,Surging,2026-06-22
Cebu Carbon,Tomato,86,Rising,2026-06-22
Baguio Public,Tomato,87,Rising,2026-06-22
Davao Bankerohan,Tomato,78,Dipping,2026-06-22
Iloilo Terminal,Tomato,91,Surging,2026-06-22
Balintawak,White Potato,69,Dipping,2026-06-22
Divisoria,White Potato,69,Dipping,2026-06-22
Mega Q-Mart,White Potato,97,Rising,2026-06-22
Muntinlupa,White Potato,105,Surging,2026-06-22
Cebu Carbon,White Potato,87,Dipping,2026-06-22
Baguio Public,White Potato,103,Surging,2026-06-22
Davao Bankerohan,White Potato,90,Stable,2026-06-22
Iloilo Terminal,White Potato,90,Stable,2026-06-22
Balintawak,Bell Pepper (Green),153,Stable,2026-06-22
Divisoria,Bell Pepper (Green),174,Surging,2026-06-22
Mega Q-Mart,Bell Pepper (Green),182,Stable,2026-06-22
Muntinlupa,Bell Pepper (Green),183,Stable,2026-06-22
Cebu Carbon,Bell Pepper (Green),205,Surging,2026-06-22
Baguio Public,Bell Pepper (Green),183,Stable,2026-06-22
Davao Bankerohan,Bell Pepper (Green),205,Surging,2026-06-22
Iloilo Terminal,Bell Pepper (Green),185,Stable,2026-06-22
Balintawak,Cauliflower,140,Surging,2026-06-22
Divisoria,Cauliflower,113,Dipping,2026-06-22
Mega Q-Mart,Cauliflower,160,Rising,2026-06-22
Muntinlupa,Cauliflower,139,Dipping,2026-06-22
Cebu Carbon,Cauliflower,148,Stable,2026-06-22
Baguio Public,Cauliflower,175,Surging,2026-06-22
Davao Bankerohan,Cauliflower,143,Dipping,2026-06-22
Iloilo Terminal,Cauliflower,162,Rising,2026-06-22
Balintawak,Lettuce (Romaine),103,Rising,2026-06-22
Divisoria,Lettuce (Romaine),98,Stable,2026-06-22
Mega Q-Mart,Lettuce (Romaine),113,Dipping,2026-06-22
Muntinlupa,Lettuce (Romaine),132,Surging,2026-06-22
Cebu Carbon,Lettuce (Romaine),113,Dipping,2026-06-22
Baguio Public,Lettuce (Romaine),109,Dipping,2026-06-22
Davao Bankerohan,Lettuce (Romaine),116,Stable,2026-06-22
Iloilo Terminal,Lettuce (Romaine),133,Surging,2026-06-22
Balintawak,Mango (Carabao),115,Rising,2026-06-22
Divisoria,Mango (Carabao),118,Surging,2026-06-22
Mega Q-Mart,Mango (Carabao),132,Stable,2026-06-22
Muntinlupa,Mango (Carabao),129,Stable,2026-06-22
Cebu Carbon,Mango (Carabao),149,Surging,2026-06-22
Baguio Public,Mango (Carabao),124,Dipping,2026-06-22
Davao Bankerohan,Mango (Carabao),150,Surging,2026-06-22
Iloilo Terminal,Mango (Carabao),149,Surging,2026-06-22
Balintawak,Rice (Well Milled),47,Stable,2026-06-22
Divisoria,Rice (Well Milled),43,Dipping,2026-06-22
Mega Q-Mart,Rice (Well Milled),57,Stable,2026-06-22
Muntinlupa,Rice (Well Milled),56,Stable,2026-06-22
Cebu Carbon,Rice (Well Milled),51,Dipping,2026-06-22
Baguio Public,Rice (Well Milled),53,Dipping,2026-06-22
Davao Bankerohan,Rice (Well Milled),64,Surging,2026-06-22
Iloilo Terminal,Rice (Well Milled),52,Dipping,2026-06-22
Balintawak,Eggplant,58,Surging,2026-06-22
Divisoria,Eggplant,60,Surging,2026-06-22
Mega Q-Mart,Eggplant,60,Dipping,2026-06-22
Muntinlupa,Eggplant,67,Stable,2026-06-22
Cebu Carbon,Eggplant,74,Surging,2026-06-22
Baguio Public,Eggplant,62,Stable,2026-06-22
Davao Bankerohan,Eggplant,61,Dipping,2026-06-22
Iloilo Terminal,Eggplant,73,Surging,2026-06-22
Balintawak,Squash,35,Stable,2026-06-22
Divisoria,Squash,41,Surging,2026-06-22
Mega Q-Mart,Squash,50,Surging,2026-06-22
Muntinlupa,Squash,49,Surging,2026-06-22
Cebu Carbon,Squash,39,Dipping,2026-06-22
Baguio Public,Squash,45,Rising,2026-06-22
Davao Bankerohan,Squash,46,Rising,2026-06-22
Iloilo Terminal,Squash,43,Stable,2026-06-22
Balintawak,Ampalaya,74,Surging,2026-06-22
Divisoria,Ampalaya,72,Rising,2026-06-22
Mega Q-Mart,Ampalaya,78,Stable,2026-06-22
Muntinlupa,Ampalaya,85,Rising,2026-06-22
Cebu Carbon,Ampalaya,82,Stable,2026-06-22
Baguio Public,Ampalaya,88,Rising,2026-06-22
Davao Bankerohan,Ampalaya,78,Stable,2026-06-22
Iloilo Terminal,Ampalaya,84,Rising,2026-06-22
Balintawak,Pechay Baguio,47,Stable,2026-06-21
Divisoria,Pechay Baguio,56,Surging,2026-06-21
Mega Q-Mart,Pechay Baguio,65,Surging,2026-06-21
Muntinlupa,Pechay Baguio,57,Stable,2026-06-21
Cebu Carbon,Pechay Baguio,65,Surging,2026-06-21
Baguio Public,Pechay Baguio,64,Rising,2026-06-21
Davao Bankerohan,Pechay Baguio,59,Stable,2026-06-21
Iloilo Terminal,Pechay Baguio,55,Dipping,2026-06-21
Balintawak,Cabbage (Scorpio),42,Rising,2026-06-21
Divisoria,Cabbage (Scorpio),42,Rising,2026-06-21
Mega Q-Mart,Cabbage (Scorpio),46,Dipping,2026-06-21
Muntinlupa,Cabbage (Scorpio),48,Stable,2026-06-21
Cebu Carbon,Cabbage (Scorpio),54,Surging,2026-06-21
Baguio Public,Cabbage (Scorpio),50,Stable,2026-06-21
Davao Bankerohan,Cabbage (Scorpio),54,Surging,2026-06-21
Iloilo Terminal,Cabbage (Scorpio),52,Rising,2026-06-21
Balintawak,Carrots,77,Dipping,2026-06-21
Divisoria,Carrots,78,Dipping,2026-06-21
Mega Q-Mart,Carrots,115,Surging,2026-06-21
Muntinlupa,Carrots,108,Rising,2026-06-21
Cebu Carbon,Carrots,94,Dipping,2026-06-21
Baguio Public,Carrots,110,Rising,2026-06-21
Davao Bankerohan,Carrots,103,Stable,2026-06-21
Iloilo Terminal,Carrots,111,Rising,2026-06-21
Balintawak,Broccoli,154,Surging,2026-06-21
Divisoria,Broccoli,125,Dipping,2026-06-21
Mega Q-Mart,Broccoli,164,Stable,2026-06-21
Muntinlupa,Broccoli,184,Surging,2026-06-21
Cebu Carbon,Broccoli,159,Stable,2026-06-21
Baguio Public,Broccoli,171,Rising,2026-06-21
Davao Bankerohan,Broccoli,173,Rising,2026-06-21
Iloilo Terminal,Broccoli,167,Stable,2026-06-21
Balintawak,Tomato,69,Rising,2026-06-21
Divisoria,Tomato,63,Dipping,2026-06-21
Mega Q-Mart,Tomato,76,Dipping,2026-06-21
Muntinlupa,Tomato,79,Stable,2026-06-21
Cebu Carbon,Tomato,87,Rising,2026-06-21
Baguio Public,Tomato,86,Rising,2026-06-21
Davao Bankerohan,Tomato,86,Rising,2026-06-21
Iloilo Terminal,Tomato,87,Rising,2026-06-21
Balintawak,White Potato,81,Rising,2026-06-21
Divisoria,White Potato,71,Dipping,2026-06-21
Mega Q-Mart,White Potato,99,Rising,2026-06-21
Muntinlupa,White Potato,97,Rising,2026-06-21
Cebu Carbon,White Potato,85,Dipping,2026-06-21
Baguio Public,White Potato,99,Rising,2026-06-21
Davao Bankerohan,White Potato,98,Rising,2026-06-21
Iloilo Terminal,White Potato,94,Stable,2026-06-21
Balintawak,Bell Pepper (Green),154,Stable,2026-06-21
Divisoria,Bell Pepper (Green),151,Stable,2026-06-21
Mega Q-Mart,Bell Pepper (Green),193,Rising,2026-06-21
Muntinlupa,Bell Pepper (Green),197,Rising,2026-06-21
Cebu Carbon,Bell Pepper (Green),189,Stable,2026-06-21
Baguio Public,Bell Pepper (Green),177,Stable,2026-06-21
Davao Bankerohan,Bell Pepper (Green),196,Rising,2026-06-21
Iloilo Terminal,Bell Pepper (Green),185,Stable,2026-06-21
Balintawak,Cauliflower,127,Stable,2026-06-21
Divisoria,Cauliflower,115,Dipping,2026-06-21
Mega Q-Mart,Cauliflower,166,Rising,2026-06-21
Muntinlupa,Cauliflower,140,Dipping,2026-06-21
Cebu Carbon,Cauliflower,143,Dipping,2026-06-21
Baguio Public,Cauliflower,162,Rising,2026-06-21
Davao Bankerohan,Cauliflower,143,Dipping,2026-06-21
Iloilo Terminal,Cauliflower,139,Dipping,2026-06-21
Balintawak,Lettuce (Romaine),107,Surging,2026-06-21
Divisoria,Lettuce (Romaine),94,Stable,2026-06-21
Mega Q-Mart,Lettuce (Romaine),134,Surging,2026-06-21
Muntinlupa,Lettuce (Romaine),124,Rising,2026-06-21
Cebu Carbon,Lettuce (Romaine),109,Dipping,2026-06-21
Baguio Public,Lettuce (Romaine),115,Stable,2026-06-21
Davao Bankerohan,Lettuce (Romaine),117,Stable,2026-06-21
Iloilo Terminal,Lettuce (Romaine),132,Surging,2026-06-21
Balintawak,Mango (Carabao),112,Rising,2026-06-21
Divisoria,Mango (Carabao),111,Rising,2026-06-21
Mega Q-Mart,Mango (Carabao),125,Stable,2026-06-21
Muntinlupa,Mango (Carabao),132,Stable,2026-06-21
Cebu Carbon,Mango (Carabao),131,Stable,2026-06-21
Baguio Public,Mango (Carabao),146,Surging,2026-06-21
Davao Bankerohan,Mango (Carabao),129,Stable,2026-06-21
Iloilo Terminal,Mango (Carabao),119,Dipping,2026-06-21
Balintawak,Rice (Well Milled),45,Stable,2026-06-21
Divisoria,Rice (Well Milled),48,Rising,2026-06-21
Mega Q-Mart,Rice (Well Milled),61,Rising,2026-06-21
Muntinlupa,Rice (Well Milled),55,Stable,2026-06-21
Cebu Carbon,Rice (Well Milled),59,Rising,2026-06-21
Baguio Public,Rice (Well Milled),58,Rising,2026-06-21
Davao Bankerohan,Rice (Well Milled),64,Surging,2026-06-21
Iloilo Terminal,Rice (Well Milled),64,Surging,2026-06-21
Balintawak,Eggplant,56,Rising,2026-06-21
Divisoria,Eggplant,50,Dipping,2026-06-21
Mega Q-Mart,Eggplant,73,Surging,2026-06-21
Muntinlupa,Eggplant,65,Stable,2026-06-21
Cebu Carbon,Eggplant,75,Surging,2026-06-21
Baguio Public,Eggplant,60,Dipping,2026-06-21
Davao Bankerohan,Eggplant,59,Dipping,2026-06-21
Iloilo Terminal,Eggplant,74,Surging,2026-06-21
Balintawak,Squash,33,Dipping,2026-06-21
Divisoria,Squash,36,Stable,2026-06-21
Mega Q-Mart,Squash,43,Stable,2026-06-21
Muntinlupa,Squash,45,Rising,2026-06-21
Cebu Carbon,Squash,46,Rising,2026-06-21
Baguio Public,Squash,50,Surging,2026-06-21
Davao Bankerohan,Squash,48,Surging,2026-06-21
Iloilo Terminal,Squash,43,Stable,2026-06-21
Balintawak,Ampalaya,71,Rising,2026-06-21
Divisoria,Ampalaya,63,Dipping,2026-06-21
Mega Q-Mart,Ampalaya,85,Rising,2026-06-21
Muntinlupa,Ampalaya,91,Surging,2026-06-21
Cebu Carbon,Ampalaya,74,Dipping,2026-06-21
Baguio Public,Ampalaya,75,Dipping,2026-06-21
Davao Bankerohan,Ampalaya,76,Dipping,2026-06-21
Iloilo Terminal,Ampalaya,80,Stable,2026-06-21
Balintawak,Pechay Baguio,49,Stable,2026-06-20
Divisoria,Pechay Baguio,45,Dipping,2026-06-20
Mega Q-Mart,Pechay Baguio,58,Stable,2026-06-20
Muntinlupa,Pechay Baguio,63,Rising,2026-06-20
Cebu Carbon,Pechay Baguio,61,Rising,2026-06-20
Baguio Public,Pechay Baguio,68,Surging,2026-06-20
Davao Bankerohan,Pechay Baguio,62,Rising,2026-06-20
Iloilo Terminal,Pechay Baguio,58,Stable,2026-06-20
Balintawak,Cabbage (Scorpio),44,Surging,2026-06-20
Divisoria,Cabbage (Scorpio),41,Rising,2026-06-20
Mega Q-Mart,Cabbage (Scorpio),54,Surging,2026-06-20
Muntinlupa,Cabbage (Scorpio),46,Dipping,2026-06-20
Cebu Carbon,Cabbage (Scorpio),49,Stable,2026-06-20
Baguio Public,Cabbage (Scorpio),56,Surging,2026-06-20
Davao Bankerohan,Cabbage (Scorpio),56,Surging,2026-06-20
Iloilo Terminal,Cabbage (Scorpio),56,Surging,2026-06-20
Balintawak,Carrots,77,Dipping,2026-06-20
Divisoria,Carrots,80,Dipping,2026-06-20
Mega Q-Mart,Carrots,104,Stable,2026-06-20
Muntinlupa,Carrots,110,Rising,2026-06-20
Cebu Carbon,Carrots,101,Stable,2026-06-20
Baguio Public,Carrots,108,Rising,2026-06-20
Davao Bankerohan,Carrots,114,Surging,2026-06-20
Iloilo Terminal,Carrots,119,Surging,2026-06-20
Balintawak,Broccoli,142,Rising,2026-06-20
Divisoria,Broccoli,146,Surging,2026-06-20
Mega Q-Mart,Broccoli,179,Surging,2026-06-20
Muntinlupa,Broccoli,183,Surging,2026-06-20
Cebu Carbon,Broccoli,185,Surging,2026-06-20
Baguio Public,Broccoli,176,Rising,2026-06-20
Davao Bankerohan,Broccoli,184,Surging,2026-06-20
Iloilo Terminal,Broccoli,161,Stable,2026-06-20
Balintawak,Tomato,68,Stable,2026-06-20
Divisoria,Tomato,61,Dipping,2026-06-20
Mega Q-Mart,Tomato,90,Surging,2026-06-20
Muntinlupa,Tomato,76,Dipping,2026-06-20
Cebu Carbon,Tomato,83,Stable,2026-06-20
Baguio Public,Tomato,94,Surging,2026-06-20
Davao Bankerohan,Tomato,80,Stable,2026-06-20
Iloilo Terminal,Tomato,77,Dipping,2026-06-20
Balintawak,White Potato,83,Surging,2026-06-20
Divisoria,White Potato,87,Surging,2026-06-20
Mega Q-Mart,White Potato,97,Rising,2026-06-20
Muntinlupa,White Potato,88,Stable,2026-06-20
Cebu Carbon,White Potato,89,Stable,2026-06-20
Baguio Public,White Potato,90,Stable,2026-06-20
Davao Bankerohan,White Potato,91,Stable,2026-06-20
Iloilo Terminal,White Potato,104,Surging,2026-06-20
Balintawak,Bell Pepper (Green),173,Surging,2026-06-20
Divisoria,Bell Pepper (Green),154,Stable,2026-06-20
Mega Q-Mart,Bell Pepper (Green),181,Stable,2026-06-20
Muntinlupa,Bell Pepper (Green),174,Dipping,2026-06-20
Cebu Carbon,Bell Pepper (Green),188,Stable,2026-06-20
Baguio Public,Bell Pepper (Green),202,Surging,2026-06-20
Davao Bankerohan,Bell Pepper (Green),174,Dipping,2026-06-20
Iloilo Terminal,Bell Pepper (Green),206,Surging,2026-06-20
Balintawak,Cauliflower,121,Stable,2026-06-20
Divisoria,Cauliflower,125,Stable,2026-06-20
Mega Q-Mart,Cauliflower,174,Surging,2026-06-20
Muntinlupa,Cauliflower,159,Rising,2026-06-20
Cebu Carbon,Cauliflower,170,Surging,2026-06-20
Baguio Public,Cauliflower,168,Surging,2026-06-20
Davao Bankerohan,Cauliflower,148,Stable,2026-06-20
Iloilo Terminal,Cauliflower,176,Surging,2026-06-20
Balintawak,Lettuce (Romaine),97,Stable,2026-06-20
Divisoria,Lettuce (Romaine),102,Rising,2026-06-20
Mega Q-Mart,Lettuce (Romaine),125,Rising,2026-06-20
Muntinlupa,Lettuce (Romaine),117,Stable,2026-06-20
Cebu Carbon,Lettuce (Romaine),137,Surging,2026-06-20
Baguio Public,Lettuce (Romaine),111,Dipping,2026-06-20
Davao Bankerohan,Lettuce (Romaine),136,Surging,2026-06-20
Iloilo Terminal,Lettuce (Romaine),123,Rising,2026-06-20
Balintawak,Mango (Carabao),113,Rising,2026-06-20
Divisoria,Mango (Carabao),114,Rising,2026-06-20
Mega Q-Mart,Mango (Carabao),149,Surging,2026-06-20
Muntinlupa,Mango (Carabao),147,Surging,2026-06-20
Cebu Carbon,Mango (Carabao),128,Stable,2026-06-20
Baguio Public,Mango (Carabao),124,Dipping,2026-06-20
Davao Bankerohan,Mango (Carabao),127,Stable,2026-06-20
Iloilo Terminal,Mango (Carabao),119,Dipping,2026-06-20
Balintawak,Rice (Well Milled),53,Surging,2026-06-20
Divisoria,Rice (Well Milled),47,Rising,2026-06-20
Mega Q-Mart,Rice (Well Milled),51,Dipping,2026-06-20
Muntinlupa,Rice (Well Milled),60,Rising,2026-06-20
Cebu Carbon,Rice (Well Milled),56,Stable,2026-06-20
Baguio Public,Rice (Well Milled),64,Surging,2026-06-20
Davao Bankerohan,Rice (Well Milled),57,Stable,2026-06-20
Iloilo Terminal,Rice (Well Milled),53,Dipping,2026-06-20
Balintawak,Eggplant,58,Surging,2026-06-20
Divisoria,Eggplant,50,Dipping,2026-06-20
Mega Q-Mart,Eggplant,64,Stable,2026-06-20
Muntinlupa,Eggplant,72,Surging,2026-06-20
Cebu Carbon,Eggplant,60,Dipping,2026-06-20
Baguio Public,Eggplant,69,Rising,2026-06-20
Davao Bankerohan,Eggplant,61,Dipping,2026-06-20
Iloilo Terminal,Eggplant,71,Surging,2026-06-20
Balintawak,Squash,33,Dipping,2026-06-20
Divisoria,Squash,33,Dipping,2026-06-20
Mega Q-Mart,Squash,43,Stable,2026-06-20
Muntinlupa,Squash,42,Stable,2026-06-20
Cebu Carbon,Squash,48,Surging,2026-06-20
Baguio Public,Squash,50,Surging,2026-06-20
Davao Bankerohan,Squash,43,Stable,2026-06-20
Iloilo Terminal,Squash,49,Surging,2026-06-20
Balintawak,Ampalaya,67,Stable,2026-06-20
Divisoria,Ampalaya,67,Stable,2026-06-20
Mega Q-Mart,Ampalaya,87,Rising,2026-06-20
Muntinlupa,Ampalaya,82,Stable,2026-06-20
Cebu Carbon,Ampalaya,75,Dipping,2026-06-20
Baguio Public,Ampalaya,91,Surging,2026-06-20
Davao Bankerohan,Ampalaya,79,Stable,2026-06-20
Iloilo Terminal,Ampalaya,92,Surging,2026-06-20
Balintawak,Pechay Baguio,53,Surging,2026-06-19
Divisoria,Pechay Baguio,54,Surging,2026-06-19
Mega Q-Mart,Pechay Baguio,69,Surging,2026-06-19
Muntinlupa,Pechay Baguio,60,Stable,2026-06-19
Cebu Carbon,Pechay Baguio,62,Rising,2026-06-19
Baguio Public,Pechay Baguio,54,Dipping,2026-06-19
Davao Bankerohan,Pechay Baguio,57,Stable,2026-06-19
Iloilo Terminal,Pechay Baguio,64,Rising,2026-06-19
Balintawak,Cabbage (Scorpio),40,Stable,2026-06-19
Divisoria,Cabbage (Scorpio),37,Dipping,2026-06-19
Mega Q-Mart,Cabbage (Scorpio),47,Stable,2026-06-19
Muntinlupa,Cabbage (Scorpio),56,Surging,2026-06-19
Cebu Carbon,Cabbage (Scorpio),48,Stable,2026-06-19
Baguio Public,Cabbage (Scorpio),55,Surging,2026-06-19
Davao Bankerohan,Cabbage (Scorpio),46,Dipping,2026-06-19
Iloilo Terminal,Cabbage (Scorpio),55,Surging,2026-06-19
Balintawak,Carrots,88,Rising,2026-06-19
Divisoria,Carrots,96,Surging,2026-06-19
Mega Q-Mart,Carrots,114,Surging,2026-06-19
Muntinlupa,Carrots,109,Rising,2026-06-19
Cebu Carbon,Carrots,104,Stable,2026-06-19
Baguio Public,Carrots,107,Rising,2026-06-19
Davao Bankerohan,Carrots,103,Stable,2026-06-19
Iloilo Terminal,Carrots,116,Surging,2026-06-19
Balintawak,Broccoli,153,Surging,2026-06-19
Divisoria,Broccoli,154,Surging,2026-06-19
Mega Q-Mart,Broccoli,179,Surging,2026-06-19
Muntinlupa,Broccoli,174,Rising,2026-06-19
Cebu Carbon,Broccoli,148,Dipping,2026-06-19
Baguio Public,Broccoli,161,Stable,2026-06-19
Davao Bankerohan,Broccoli,183,Surging,2026-06-19
Iloilo Terminal,Broccoli,153,Dipping,2026-06-19
Balintawak,Tomato,72,Rising,2026-06-19
Divisoria,Tomato,71,Rising,2026-06-19
Mega Q-Mart,Tomato,93,Surging,2026-06-19
Muntinlupa,Tomato,80,Stable,2026-06-19
Cebu Carbon,Tomato,79,Stable,2026-06-19
Baguio Public,Tomato,77,Dipping,2026-06-19
Davao Bankerohan,Tomato,77,Dipping,2026-06-19
Iloilo Terminal,Tomato,78,Stable,2026-06-19
Balintawak,White Potato,81,Rising,2026-06-19
Divisoria,White Potato,83,Surging,2026-06-19
Mega Q-Mart,White Potato,87,Dipping,2026-06-19
Muntinlupa,White Potato,89,Stable,2026-06-19
Cebu Carbon,White Potato,100,Rising,2026-06-19
Baguio Public,White Potato,87,Dipping,2026-06-19
Davao Bankerohan,White Potato,107,Surging,2026-06-19
Iloilo Terminal,White Potato,84,Dipping,2026-06-19
Balintawak,Bell Pepper (Green),159,Rising,2026-06-19
Divisoria,Bell Pepper (Green),170,Surging,2026-06-19
Mega Q-Mart,Bell Pepper (Green),214,Surging,2026-06-19
Muntinlupa,Bell Pepper (Green),202,Surging,2026-06-19
Cebu Carbon,Bell Pepper (Green),170,Dipping,2026-06-19
Baguio Public,Bell Pepper (Green),190,Stable,2026-06-19
Davao Bankerohan,Bell Pepper (Green),181,Stable,2026-06-19
Iloilo Terminal,Bell Pepper (Green),209,Surging,2026-06-19
Balintawak,Cauliflower,114,Dipping,2026-06-19
Divisoria,Cauliflower,122,Stable,2026-06-19
